Monde 2000 2000
Beauce 886 1447 719 825
Energie Nourriture 1463
Seuil Reproduction 4742

#animaux un par ligne
(1249 1512) 3 3569 | 203 233 148 93 318 301 242 281 |
(933 1065) 4 3921 | 351 205 323 88 328 126 236 356 |
(83 1980) 0 1369 | 52 229 204 329 162 39 146 66 |
(732 866) 4 4698 | 79 64 137 145 30 220 121 32 |
(620 1490) 4 1749 | 151 344 304 119 133 291 376 310 |
(1177 350) 4 2728 | 182 95 101 257 298 337 103 21 |
(1089 1591) 7 4942 | 40 143 387 346 21 1 357 17 |
(1622 1528) 7 2842 | 73 225 357 355 195 119 32 326 |
(766 1393) 7 3030 | 210 95 373 308 378 360 8 34 |
(1365 18) 2 1427 | 85 340 126 303 17 365 199 338 |
(962 715) 6 4197 | 144 34 370 390 234 131 386 324 |
(38 1018) 1 885 | 335 7 44 302 285 69 354 374 |
(1386 685) 5 1688 | 209 86 360 384 89 366 350 256 |
(494 1220) 6 2553 | 4 117 265 270 17 336 391 122 |
(1311 899) 6 1207 | 305 175 329 191 119 210 192 139 |
(1221 1357) 6 3769 | 297 25 77 119 188 285 5 369 |
(993 762) 6 1935 | 82 287 338 340 306 4 183 158 |
(1532 569) 3 3383 | 32 65 177 343 56 355 61 327 |
(1707 6) 2 3332 | 160 234 365 131 207 68 231 159 |
(1192 1560) 6 4359 | 275 101 358 100 333 227 140 321 |
(133 1088) 1 961 | 203 309 339 395 372 323 167 378 |
(541 1971) 4 474 | 97 374 95 245 301 68 90 337 |
(1500 421) 4 2827 | 266 101 92 48 339 285 249 102 |
(1140 1443) 2 176 | 75 50 294 366 32 326 387 311 |
(678 845) 5 3446 | 367 254 42 391 390 59 52 280 |
(512 693) 3 275 | 272 6 146 206 164 43 226 15 |
(1914 639) 0 2994 | 252 130 1 244 3 137 72 315 |
(1971 1158) 6 3034 | 233 198 127 150 323 34 365 331 |
(488 1521) 1 2364 | 154 100 213 3 25 78 25 351 |
(1924 1407) 4 3843 | 293 58 238 256 133 128 99 291 |
(458 1959) 7 1336 | 76 40 60 1 85 362 373 2 |
(1646 858) 5 3372 | 392 119 21 392 108 285 35 206 |
(450 506) 2 4186 | 233 53 172 41 135 247 108 143 |
(1131 1417) 6 1823 | 324 42 194 351 90 152 3 265 |
