Monde 2000 2000
Beauce 87 3 1938 1008
Energie Nourriture 3512
Seuil Reproduction 5225

#animaux un par ligne
(1829 654) 6 3174 | 300 274 63 16 353 79 85 265 |
(487 1903) 3 1995 | 329 333 62 21 363 106 119 200 |
(1550 36) 2 1168 | 171 263 209 21 234 158 203 66 |
(1833 640) 3 840 | 61 155 388 125 33 225 393 324 |
(214 624) 5 2297 | 393 163 295 273 148 312 325 338 |
(1184 897) 7 2279 | 151 91 186 317 8 243 107 212 |
(863 1492) 7 3557 | 217 109 263 155 50 145 233 348 |
(1384 1381) 0 3751 | 252 96 351 149 36 139 323 272 |
(657 304) 2 4795 | 33 17 229 246 296 145 153 48 |
(1417 552) 5 4166 | 233 310 190 335 93 51 331 226 |
(672 1179) 1 1691 | 264 160 214 298 395 56 313 224 |
(72 1350) 3 80 | 127 124 358 261 77 266 150 90 |
(1107 1308) 7 1467 | 391 359 304 324 332 225 169 261 |
(229 1263) 1 62 | 60 150 80 240 31 10 186 164 |
(1501 928) 1 1868 | 333 5 248 208 263 152 162 68 |
(1214 190) 6 2197 | 127 296 370 356 304 3 202 390 |
(1726 988) 1 1752 | 28 375 234 77 42 63 328 384 |
(1088 995) 5 3451 | 265 258 110 109 392 102 114 278 |
(1297 895) 1 3130 | 220 129 272 288 217 385 372 300 |
(279 622) 1 923 | 337 87 154 30 254 205 231 160 |
(257 1440) 6 3257 | 130 243 288 385 303 360 194 170 |
(1146 1844) 5 987 | 101 161 392 85 83 6 266 2 |
(1853 256) 5 4576 | 343 27 358 78 383 301 211 191 |
(1766 1979) 1 2587 | 208 125 242 126 369 248 35 28 |
(1672 923) 3 2151 | 134 182 349 104 323 238 399 321 |
(1618 485) 0 4423 | 190 381 30 5 187 357 258 168 |
(1588 1711) 0 1928 | 46 251 331 321 41 4 220 12 |
(788 765) 0 2270 | 165 48 333 97 247 175 61 66 |
(1688 1865) 4 889 | 7 218 229 276 217 263 125 39 |
(1048 1416) 3 4212 | 186 232 88 287 359 371 161 321 |
(424 939) 4 1463 | 68 386 315 301 53 77 202 231 |
(1461 604) 4 3201 | 380 344 56 393 76 26 224 85 |
(679 176) 0 3124 | 33 385 60 125 85 132 53 206 |
(734 1852) 0 2919 | 368 339 116 385 168 186 105 216 |
(540 98) 4 2829 | 44 284 305 51 371 330 223 192 |
(477 1980) 4 4892 | 245 88 371 211 149 292 303 79 |
(935 239) 2 3729 | 176 357 19 128 17 81 66 137 |
(1081 96) 4 1297 | 51 185 267 156 181 337 334 261 |
(580 212) 7 1639 | 198 286 339 109 212 126 21 142 |
(1406 1751) 4 4289 | 303 119 291 113 292 330 26 160 |
(646 1583) 4 4127 | 277 147 40 311 170 260 296 20 |
(903 1568) 1 4265 | 170 137 358 271 130 93 160 178 |
(569 1117) 6 4747 | 369 85 69 22 13 320 374 378 |
(80 387) 2 2617 | 306 366 13 127 373 195 310 60 |
(1491 397) 1 4736 | 261 162 368 79 277 195 353 157 |
(804 1288) 0 4513 | 21 246 81 318 28 52 179 300 |
(1181 1126) 2 3714 | 383 376 122 156 114 305 247 84 |
(457 368) 7 4804 | 377 162 255 222 212 290 11 301 |
(1716 1033) 5 4667 | 255 33 193 170 108 234 147 191 |
(1903 1603) 4 2426 | 61 141 283 119 336 79 149 295 |
(1523 735) 0 1395 | 80 286 25 55 381 41 287 16 |
(1341 1109) 0 2123 | 21 43 70 224 36 151 361 377 |
(376 764) 5 1188 | 287 300 199 48 390 285 48 247 |
(294 16) 6 289 | 333 115 248 130 48 141 105 83 |
(1780 126) 3 2214 | 65 400 360 188 110 323 400 224 |
(386 1013) 6 72 | 286 393 50 327 228 72 116 89 |
(734 1786) 2 2659 | 197 54 140 400 70 202 40 40 |
(1231 1150) 4 1306 | 234 124 54 283 219 190 137 207 |
(1804 769) 5 659 | 32 358 332 380 307 150 82 205 |
(237 275) 0 1036 | 13 204 339 104 212 205 16 5 |
(1720 963) 6 4199 | 140 313 178 327 296 168 386 396 |
(1072 1938) 1 888 | 361 313 56 316 51 338 158 168 |
(280 658) 0 1416 | 221 174 200 210 348 285 1 52 |
(763 234) 4 3472 | 286 123 337 66 178 304 34 301 |
(1674 101) 2 1693 | 156 334 156 24 320 389 391 115 |
(914 280) 5 1170 | 192 179 5 88 290 133 284 338 |
(1904 210) 7 3797 | 219 232 222 236 23 127 21 81 |
(1931 452) 4 4193 | 68 183 257 193 129 213 192 296 |
(1286 209) 5 4252 | 310 234 70 119 350 159 245 185 |
(916 111) 2 2294 | 184 2 79 309 59 373 252 299 |
(710 1925) 3 3070 | 127 193 207 349 294 130 289 366 |
(1771 1587) 7 3011 | 261 137 398 227 79 125 144 80 |
(1896 1396) 0 3534 | 174 189 87 246 134 264 170 198 |
(1085 1652) 1 872 | 341 105 152 360 173 298 257 366 |
(1897 598) 3 2158 | 130 131 359 298 388 136 296 341 |
(1558 740) 7 4376 | 94 177 268 173 229 246 29 76 |
(120 373) 7 1800 | 28 46 299 311 283 304 398 306 |
(1012 1023) 6 870 | 149 75 68 112 29 178 125 28 |
(264 111) 4 1101 | 194 365 152 293 360 52 285 257 |
(1866 542) 5 2338 | 292 210 211 335 296 268 73 235 |
(1421 925) 5 4093 | 233 163 167 267 285 60 117 399 |
(723 1224) 5 3897 | 312 153 158 21 201 197 16 353 |
(549 1411) 5 4356 | 214 60 393 308 150 219 133 202 |
(1797 1147) 1 3728 | 102 391 306 234 233 341 218 342 |
(1874 227) 5 4693 | 312 13 9 230 9 300 393 199 |
(1132 1415) 1 4252 | 160 359 240 166 2 189 16 183 |
(1266 1623) 5 1611 | 388 2 186 266 205 396 354 55 |
(1295 745) 1 3177 | 206 168 8 155 158 343 193 388 |
(1792 768) 0 4796 | 316 132 297 242 201 109 293 85 |
(1830 253) 7 3978 | 91 396 308 259 330 142 66 177 |
(1192 791) 5 923 | 213 141 366 303 343 23 384 173 |
(1236 533) 5 4658 | 244 123 48 108 364 182 108 59 |
(1995 1887) 1 553 | 377 348 145 238 260 179 308 145 |
(691 1619) 3 3031 | 253 120 94 93 29 227 243 343 |
(1047 100) 2 1429 | 67 109 289 171 45 328 324 122 |
(1040 1331) 2 272 | 227 147 7 224 350 121 266 236 |
(1745 811) 0 4367 | 6 387 250 200 324 296 89 240 |
(1153 576) 1 3516 | 238 48 49 57 58 381 23 266 |
(981 1971) 1 2969 | 163 212 2 78 375 162 11 271 |
(815 1935) 0 2914 | 341 216 341 161 245 307 252 217 |
