Monde 2000 2000
Beauce 1249 105 1581 1064
Energie Nourriture 1927
Seuil Reproduction 36663

#animaux un par ligne
(1777 1152) 0 4418 | 69 126 50 291 309 96 143 65 |
(1569 1153) 1 3087 | 234 32 366 6 229 22 177 303 |
(1305 1976) 1 3780 | 118 2 138 369 185 192 66 100 |
(887 1006) 3 4958 | 356 321 307 111 243 125 230 259 |
(294 1870) 5 1255 | 133 270 220 209 202 43 335 134 |
(1668 1364) 3 1899 | 155 389 384 249 81 248 83 136 |
(1925 1916) 5 875 | 251 39 381 319 264 154 137 129 |
(1051 539) 3 4107 | 117 324 221 268 105 398 341 26 |
(837 582) 6 4777 | 148 213 148 78 322 31 165 342 |
(1492 1875) 0 156 | 146 296 145 373 164 147 83 99 |
(175 1383) 2 1363 | 289 290 277 152 240 171 382 112 |
(312 474) 7 493 | 280 189 211 168 381 109 329 362 |
(759 168) 2 733 | 327 221 167 150 198 179 351 190 |
(253 1240) 2 2606 | 113 20 340 162 62 55 6 266 |
(625 85) 7 1984 | 13 305 192 113 262 134 345 182 |
(588 233) 7 2421 | 99 274 27 34 152 347 378 283 |
(1073 1501) 2 4377 | 44 12 316 55 375 119 84 56 |
(1145 1987) 3 4477 | 226 156 73 244 378 65 90 384 |
(648 1039) 7 3181 | 398 145 56 108 123 239 150 185 |
(466 1061) 1 1113 | 160 292 223 362 8 338 254 294 |
(173 1265) 5 3273 | 358 172 65 15 25 375 338 291 |
(1937 1879) 7 3867 | 253 28 89 208 351 351 363 348 |
(1012 51) 7 2039 | 346 353 258 187 8 13 274 59 |
(1025 929) 4 4249 | 230 352 56 176 144 247 340 92 |
(855 1824) 5 4202 | 18 77 390 371 383 289 14 314 |
(1295 1718) 6 2367 | 232 192 208 77 179 73 328 47 |
(120 66) 6 2286 | 123 11 359 237 296 262 27 166 |
(792 1935) 4 712 | 332 309 4 196 186 392 55 28 |
(374 1741) 0 614 | 381 328 128 140 36 277 199 344 |
(164 1457) 6 444 | 336 292 198 351 372 376 336 212 |
(866 178) 4 183 | 173 385 67 192 218 217 390 104 |
(1683 339) 2 3430 | 360 106 95 253 288 386 73 366 |
(1431 1103) 3 2127 | 247 172 368 205 75 102 238 66 |
(1738 1975) 3 1443 | 27 162 178 334 109 391 73 207 |
(1636 1831) 4 3846 | 349 200 188 144 193 30 136 351 |
(1482 98) 4 4411 | 338 29 66 244 2 309 376 167 |
(870 1582) 6 2672 | 152 300 263 260 167 338 264 30 |
(1664 472) 3 1538 | 307 362 322 161 71 257 360 344 |
(241 1365) 4 4380 | 156 38 86 161 10 153 148 196 |
(1342 349) 4 1992 | 393 78 207 10 75 356 247 385 |
(1644 998) 1 651 | 124 79 184 92 97 261 209 284 |
(1014 1272) 5 14 | 1 88 26 69 125 206 151 9 |
(1748 994) 3 1697 | 331 190 371 118 273 255 400 204 |
(1476 1176) 7 2045 | 50 102 171 328 346 55 291 369 |
(604 339) 0 3185 | 256 223 47 217 347 314 169 210 |
(1184 200) 6 3694 | 368 302 361 147 201 367 117 279 |
(993 1532) 5 203 | 4 121 185 129 77 34 99 310 |
(1411 527) 4 2881 | 220 13 198 142 370 190 172 300 |
(734 1766) 0 403 | 288 127 63 221 65 88 20 295 |
(1889 383) 7 2221 | 24 294 43 196 269 181 207 196 |
(1445 440) 5 3114 | 332 235 362 187 358 270 374 92 |
(249 1522) 0 1533 | 321 335 105 67 94 262 400 178 |
(1630 144) 2 310 | 275 320 254 87 100 395 50 280 |
(925 428) 3 216 | 297 158 243 396 318 379 210 122 |
(1545 747) 7 4506 | 303 117 255 187 387 239 323 335 |
(1920 470) 7 4272 | 231 166 318 36 84 289 332 38 |
(1903 601) 6 4319 | 161 223 321 83 374 324 376 176 |
(1760 1323) 1 93 | 389 310 53 171 369 367 376 230 |
(1112 1973) 1 2389 | 223 26 375 223 127 292 177 29 |
(1660 397) 1 4497 | 377 260 313 387 44 308 223 186 |
(1743 1024) 3 3985 | 171 156 213 127 395 328 206 110 |
(657 305) 5 2295 | 389 229 155 129 122 190 264 378 |
(1438 1181) 1 1854 | 41 328 317 131 274 168 337 163 |
(767 879) 7 3655 | 330 43 109 82 190 217 101 163 |
(1102 1210) 2 3914 | 16 155 379 346 167 194 75 176 |
(1958 179) 2 200 | 3 271 167 45 339 124 102 30 |
(1988 1988) 5 1201 | 149 237 197 108 281 249 35 283 |
(29 1755) 1 584 | 44 92 168 347 210 362 343 269 |
(831 229) 4 1033 | 115 19 198 191 76 305 29 193 |
(1562 1077) 7 1513 | 292 396 121 246 324 336 391 52 |
(355 883) 5 3108 | 83 125 149 46 171 196 66 77 |
(939 463) 3 1716 | 241 177 292 146 108 15 309 385 |
(342 104) 1 477 | 163 202 106 260 95 309 181 45 |
